mode,threshold,precision,recall,accuracy,f1,fpr,tpr,n_pos,n_neg
scanner,0.0,0.5,1.0,0.5,0.6666666666666666,1.0,1.0,100,100
scanner,0.005,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.01,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.015,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.02,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.025,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.03,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.035,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.04,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.045,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.05,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.055,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.06,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.065,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.07,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.075,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.08,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.085,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.09,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.095,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.1,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.105,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.11,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.115,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.12,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.125,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.13,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.135,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.14,0.49473684210526314,0.94,0.49,0.6482758620689655,0.96,0.94,100,100
scanner,0.145,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.15,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.155,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.16,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.165,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.17,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.17500000000000002,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.18,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.185,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.19,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.195,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.2,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.20500000000000002,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.21,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.215,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.22,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.225,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.23,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.23500000000000001,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.24,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.245,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.25,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.255,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.26,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.265,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.27,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.275,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.28,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.28500000000000003,0.5222222222222223,0.94,0.54,0.6714285714285715,0.86,0.94,100,100
scanner,0.29,0.875,0.77,0.83,0.8191489361702129,0.11,0.77,100,100
scanner,0.295,0.875,0.77,0.83,0.8191489361702129,0.11,0.77,100,100
scanner,0.3,0.875,0.77,0.83,0.8191489361702129,0.11,0.77,100,100
scanner,0.305,0.875,0.77,0.83,0.8191489361702129,0.11,0.77,100,100
scanner,0.31,0.875,0.77,0.83,0.8191489361702129,0.11,0.77,100,100
scanner,0.315,0.875,0.77,0.83,0.8191489361702129,0.11,0.77,100,100
scanner,0.32,0.875,0.77,0.83,0.8191489361702129,0.11,0.77,100,100
scanner,0.325,0.875,0.77,0.83,0.8191489361702129,0.11,0.77,100,100
scanner,0.33,0.875,0.77,0.83,0.8191489361702129,0.11,0.77,100,100
scanner,0.335,0.875,0.77,0.83,0.8191489361702129,0.11,0.77,100,100
scanner,0.34,0.875,0.77,0.83,0.8191489361702129,0.11,0.77,100,100
scanner,0.34500000000000003,0.875,0.77,0.83,0.8191489361702129,0.11,0.77,100,100
scanner,0.35000000000000003,0.875,0.77,0.83,0.8191489361702129,0.11,0.77,100,100
scanner,0.355,0.9722222222222222,0.35,0.67,0.5147058823529411,0.01,0.35,100,100
scanner,0.36,0.9722222222222222,0.35,0.67,0.5147058823529411,0.01,0.35,100,100
scanner,0.365,0.9722222222222222,0.35,0.67,0.5147058823529411,0.01,0.35,100,100
scanner,0.37,0.9722222222222222,0.35,0.67,0.5147058823529411,0.01,0.35,100,100
scanner,0.375,0.9722222222222222,0.35,0.67,0.5147058823529411,0.01,0.35,100,100
scanner,0.38,0.9722222222222222,0.35,0.67,0.5147058823529411,0.01,0.35,100,100
scanner,0.385,0.9722222222222222,0.35,0.67,0.5147058823529411,0.01,0.35,100,100
scanner,0.39,0.9722222222222222,0.35,0.67,0.5147058823529411,0.01,0.35,100,100
scanner,0.395,0.9722222222222222,0.35,0.67,0.5147058823529411,0.01,0.35,100,100
scanner,0.4,0.9722222222222222,0.35,0.67,0.5147058823529411,0.01,0.35,100,100
scanner,0.405,0.9722222222222222,0.35,0.67,0.5147058823529411,0.01,0.35,100,100
scanner,0.41000000000000003,0.9722222222222222,0.35,0.67,0.5147058823529411,0.01,0.35,100,100
scanner,0.41500000000000004,0.9722222222222222,0.35,0.67,0.5147058823529411,0.01,0.35,100,100
scanner,0.42,0.9722222222222222,0.35,0.67,0.5147058823529411,0.01,0.35,100,100
scanner,0.425,0.9722222222222222,0.35,0.67,0.5147058823529411,0.01,0.35,100,100
scanner,0.43,1.0,0.26,0.63,0.41269841269841273,0.0,0.26,100,100
scanner,0.435,1.0,0.26,0.63,0.41269841269841273,0.0,0.26,100,100
scanner,0.44,1.0,0.26,0.63,0.41269841269841273,0.0,0.26,100,100
scanner,0.445,1.0,0.26,0.63,0.41269841269841273,0.0,0.26,100,100
scanner,0.45,1.0,0.26,0.63,0.41269841269841273,0.0,0.26,100,100
