id,row_index,label,phishing_prob,phishing_prob_cal,model_id,dataset
0,0,1,0.9999770522117615,0.9697873592376709,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
1,1,1,0.9999880194664001,0.973285973072052,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
2,2,1,0.0012611005222424865,0.1286199390888214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
3,3,0,0.00011560208076843992,0.05966350436210632,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
4,4,1,0.9998896718025208,0.9509288668632507,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
5,5,1,0.9999281764030457,0.958051323890686,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
6,6,1,0.999978244304657,0.9706336259841919,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
7,7,1,0.0012611005222424865,0.1286199390888214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
8,8,0,0.11423436552286148,0.39754968881607056,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
9,9,1,0.0012611005222424865,0.1286199390888214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
10,10,1,0.9999873638153076,0.9743399024009705,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
11,11,1,0.9999696016311646,0.9677808880805969,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
12,12,1,0.0012611005222424865,0.1286199390888214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
13,13,1,0.0012611005222424865,0.1286199390888214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
14,14,1,0.9999576210975647,0.9635228514671326,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
15,15,0,0.002269582124426961,0.13032200932502747,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
16,16,1,0.0012611005222424865,0.1286199390888214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
17,17,1,0.0012611005222424865,0.1286199390888214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
18,18,0,2.668052911758423e-05,0.03922168165445328,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
19,19,0,1.4234145965019707e-05,0.034061893820762634,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
20,20,0,0.04223767668008804,0.2825872302055359,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
21,21,0,0.000503966526594013,0.09285092353820801,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
22,22,0,0.047525517642498016,0.27562907338142395,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
23,23,0,0.08591416478157043,0.3980298638343811,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
24,24,0,9.084108569368254e-06,0.030518073588609695,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
25,25,1,0.9999309182167053,0.9583224654197693,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
26,26,1,0.8978973031044006,0.6193674802780151,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
27,27,0,1.5079440345289186e-05,0.03505788370966911,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
28,28,1,0.9999741315841675,0.9615565538406372,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
29,29,1,0.9999695420265198,0.9673625230789185,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
30,30,1,0.0006407430046238005,0.1097320169210434,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
31,31,1,0.9999883770942688,0.974254846572876,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
32,32,1,0.9999739527702332,0.9687870740890503,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
33,33,0,2.8305095838732086e-05,0.0390712209045887,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
34,34,0,0.0004379272577352822,0.07928156852722168,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
35,35,1,0.0012611005222424865,0.1286199390888214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
36,36,1,0.9999879002571106,0.9731614589691162,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
37,37,1,0.9999886751174927,0.9734723567962646,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
38,38,0,0.0001969811273738742,0.07754817605018616,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
39,39,1,0.9997266530990601,0.9348191022872925,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
40,40,1,0.9999884366989136,0.974048912525177,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
41,41,1,0.0012611005222424865,0.1286199390888214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
42,42,1,0.9999542236328125,0.9633228778839111,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
43,43,0,0.9728468656539917,0.7638405561447144,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
44,44,0,0.16747675836086273,0.37388452887535095,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
45,45,0,1.344140309811337e-05,0.03422028571367264,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
46,46,1,0.9999366402626038,0.9592741131782532,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
47,47,0,0.9997177124023438,0.9337885975837708,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
48,48,1,0.0012611005222424865,0.1286199390888214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
49,49,1,0.0012611005222424865,0.1286199390888214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
50,50,0,0.00018425281450618058,0.06823629885911942,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
51,51,0,1.2934922779095359e-05,0.03484684228897095,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
52,52,0,9.67489631875651e-06,0.029897067695856094,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
53,53,0,0.00037046754732728004,0.0971209928393364,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
54,54,0,3.007243140018545e-05,0.04370688647031784,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
55,55,0,6.327173468889669e-05,0.05280475318431854,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
56,56,0,0.9972806572914124,0.8728725910186768,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
57,57,0,0.00021494898828677833,0.07655848562717438,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
58,58,1,0.9998956322669983,0.9519762992858887,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
59,59,0,0.00016365501505788416,0.06796329468488693,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
60,60,0,0.00013150028826203197,0.05703403055667877,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
61,61,1,0.9999882578849792,0.9741153120994568,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
62,62,1,0.9999880790710449,0.973160982131958,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
63,63,0,1.96599357877858e-05,0.034902311861515045,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
64,64,1,0.999976396560669,0.9686286449432373,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
65,65,0,0.00011277094745310023,0.06208900362253189,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
66,66,1,0.99998539686203,0.973379373550415,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
67,67,1,0.0012611005222424865,0.1286199390888214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
68,68,1,0.9999889731407166,0.9739360809326172,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
69,69,1,0.0012611005222424865,0.1286199390888214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
70,70,1,0.0012611005222424865,0.1286199390888214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
71,71,1,0.9999889135360718,0.974479079246521,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
72,72,1,0.9999879002571106,0.9739809632301331,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
73,73,0,2.2775799152441323e-05,0.03832340985536575,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
74,74,1,0.999238133430481,0.914116382598877,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
75,75,1,0.0012611005222424865,0.1286199390888214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
